Sector,Industry,Industry Name,Companies,Establishments,Employees,Revenue,Payroll,Productivity,Avg Salary,Avg. Hr Rate
21,212222,Silver ore mining,9,10,"1,318","488,412,000","96,904,000",500%,"73,524",36.76
21,212311,Dimension stone mining and quarrying,211,238,"3,506","484,872,000","128,031,000",380%,"36,518",18.26
21,212113,Anthracite mining,51,62,822,"259,552,000","44,306,000",590%,"53,900",26.95
22,221122,Electric power distribution,"1,251","7,943","365,588","328,881,348,000","39,103,154,000",840%,"106,960",53.48
22,221210,Natural gas distribution,421,"2,550","91,747","100,586,292,000","8,155,351,000",1230%,"88,890",44.45
22,221112,Fossil fuel electric power generation,236,"1,711","76,058","75,455,040,000","8,192,622,000",920%,"107,715",53.86
22,221113,Nuclear electric power generation,30,176,"48,521","29,013,550,000","6,063,134,000",480%,"124,959",62.48
22,221121,Electric bulk power transmission and control,55,273,"15,416","13,771,546,000","1,827,887,000",750%,"118,571",59.29
22,221310,Water supply and irrigation systems,"3,313","4,108","38,180","11,759,316,000","2,411,157,000",490%,"63,152",31.58
22,221115,Wind electric power generation,95,454,"4,986","7,762,259,000","510,564,000",1520%,"102,400",51.2
22,221111,Hydroelectric power generation,139,523,"3,642","3,334,263,000","328,454,000",1020%,"90,185",45.09
22,221114,Solar electric power generation,151,205,"2,163","1,801,126,000","221,883,000",810%,"102,581",51.29
22,221320,Sewage treatment facilities,339,634,"6,367","1,524,099,000","337,305,000",450%,"52,977",26.49
22,221330,Steam and air-conditioning supply,44,125,"2,439","1,311,529,000","221,751,000",590%,"90,919",45.46
22,221116,Geothermal electric power generation,16,34,"1,214","973,588,000","121,229,000",800%,"99,859",49.93
22,221117,Biomass electric power generation,73,141,"1,968","905,622,000","163,226,000",550%,"82,940",41.47
22,221118,Other electric power generation,25,36,95,"20,884,000","9,137,000",230%,"96,179",48.09
23,236220,Commercial and institutional building construction,"37,892","39,107","580,353","433,009,437,000","43,744,203,000",990%,"75,375",37.69
23,238220,"Plumbing, heating, and air-conditioning contractors","101,561","103,275","1,020,861","206,208,216,000","60,218,491,000",340%,"58,988",29.49
23,238210,Electrical contractors and other wiring installation contractors,"72,187","73,907","845,813","171,416,144,000","51,456,683,000",330%,"60,837",30.42
23,236117,New housing for-sale builders,"16,462","17,123","132,191","148,898,346,000","10,298,600,000",1450%,"77,907",38.95
23,237310,"Highway, street, and bridge construction","8,876","9,721","322,243","126,575,188,000","23,248,153,000",540%,"72,145",36.07
23,238910,Site preparation contractors,"35,029","35,417","385,177","97,460,244,000","22,894,974,000",430%,"59,440",29.72
23,236118,Residential remodelers,"102,398","102,818","341,329","77,626,776,000","14,851,461,000",520%,"43,511",21.76
23,236115,New single-family housing construction (except for-sale builders),"48,499","48,673","176,059","68,574,751,000","8,530,682,000",800%,"48,454",24.23
23,237130,Power and communication line and related structures construction,"5,071","6,078","232,861","64,633,459,000","17,195,668,000",380%,"73,845",36.92
23,238110,Poured concrete foundation and structure contractors,"20,553","20,707","239,062","52,694,411,000","13,122,241,000",400%,"54,891",27.45
23,238990,All other specialty trade contractors,"34,122","34,543","240,833","52,198,185,000","13,239,472,000",390%,"54,974",27.49
23,237120,Oil and gas pipeline and related structures construction,"1,876","2,226","211,334","49,691,899,000","15,491,081,000",320%,"73,301",36.65
23,236116,New multifamily housing construction (except for-sale builders),"3,136","3,200","44,444","46,910,655,000","3,595,548,000",1300%,"80,901",40.45
23,238310,Drywall and insulation contractors,"17,803","18,359","258,608","45,083,613,000","13,522,558,000",330%,"52,290",26.15
23,237110,Water and sewer line and related structures construction,"10,636","10,838","150,664","44,333,746,000","9,613,699,000",460%,"63,809",31.9
23,238160,Roofing contractors,"19,108","19,366","178,559","40,770,160,000","9,145,104,000",450%,"51,216",25.61
23,238290,Other building equipment contractors,"6,267","7,384","133,279","33,554,219,000","9,855,936,000",340%,"73,950",36.98
23,238350,Finish carpentry contractors,"29,478","29,697","145,852","27,561,178,000","6,807,059,000",400%,"46,671",23.34
23,236210,Industrial building construction,"2,985","3,164","71,562","25,454,943,000","4,479,129,000",570%,"62,591",31.3
23,238320,Painting and wall covering contractors,"35,408","35,484","190,200","25,388,981,000","8,438,133,000",300%,"44,365",22.18
23,238140,Masonry contractors,"18,207","18,329","141,977","23,560,290,000","6,852,561,000",340%,"48,265",24.13
23,237990,Other heavy and civil engineering construction,"4,140","4,260","67,148","23,468,831,000","4,902,897,000",480%,"73,016",36.51
23,238330,Flooring contractors,"15,710","15,925","78,494","18,039,180,000","3,800,490,000",470%,"48,418",24.21
23,238130,Framing contractors,"11,494","11,516","85,674","16,165,452,000","3,630,233,000",450%,"42,373",21.19
